PUPIL_NUMBER	LEGAL_RES_DIST_CODE	COUNTY
258878	2043	15
258886	2043	15
258920	2043	15
258924	2043	15
258928	2043	15
259354	2043	15
259362	2043	15
259364	2043	15
258931	2043	15
258932	2043	15
258934	2043	15
258935	2043	15
258937	2043	15
258914	2043	15
258769	2043	15
258858	2043	15
258918	2043	15
258919	2043	15
258836	2043	15
258841	2043	15
258939	2043	15
258942	2043	15
259243	2043	15
259455	2043	15
259456	2043	15
259457	2043	15
259458	2043	15
259523	2043	15
259529	2043	15
259013	2043	15
259053	2043	15
258209	2043	15
258210	2043	15
258229	2043	15
258230	2043	15
258241	2043	15
259609	2043	15
257821	2043	15
258256	2043	15
238879	2043	15
234733	2043	15
234734	2043	15
238863	2043	15
226580	2043	
247233	2043	15
251958	2043	15
251973	2043	15
251975	2043	15
252122	2043	15
103105	2043	15
246826	2043	15
246829	2043	15
246830	2043	15
251186	2043	15
247039	2043	15
246361	2043	15
247119	2043	15
251228	2043	15
251236	2043	15
251365	2043	15
245457	2043	15
245458	2043	15
245461	2043	15
252377	2043	15
251636	2043	15
234624	2043	15
234629	2043	15
234630	2043	15
237252	2043	15
237273	2043	15
237285	2043	15
237286	2043	15
237294	2043	15
235427	2043	15
235777	2043	15
239735	2043	15
239736	2043	15
240254	2043	15
235781	2043	15
235799	2043	15
235805	2043	
235811	2043	15
235412	2043	15
236918	2043	15
235486	2043	15
236935	2043	15
237296	2043	15
237303	2043	15
237304	2043	15
237308	2043	15
237313	2043	15
237314	2043	15
239722	2043	15
235872	2043	15
235903	2043	15
235388	2043	15
235393	2043	15
235399	2043	15
239865	2043	15
235626	2043	15
235627	2043	15
226581	2043	15
237128	2043	15
237136	2043	15
237200	2043	15
239926	2043	15
239030	2043	15
239205	2043	15
239236	2043	15
239243	2043	15
239372	2043	15
235537	2043	15
235595	2043	15
235601	2043	15
235613	2043	15
235630	2043	15
237668	2043	15
235764	2043	15
247126	2043	15
242288	2043	15
242567	2043	15
235590	2043	15
235614	2043	15
240212	2043	15
240217	2043	15
237235	2043	15
242575	2043	15
242583	2043	15
235631	2043	15
239135	2043	15
237319	2043	15
237320	2043	15
237323	2043	15
237340	2083	15
235778	2043	15
237212	2043	15
237215	2043	15
237248	2048	15
235525	2043	15
235538	2043	15
235589	2043	15
235332	2043	15
235339	2043	15
235082	2043	15
237255	2043	15
237256	2043	15
237262	2043	15
235125	2043	15
235036	2043	15
235040	2043	15
235048	2043	15
234999	2043	15
235077	2043	15
246356	2043	15
247135	2043	15
237265	2043	15
237266	2043	15
237268	2043	15
235139	2043	15
238949	2043	15
239102	2043	15
239113	2043	15
235059	2043	15
226562	2043	15
245896	2043	15
246819	2043	15
250743	2043	15
250744	2043	15
250749	2043	15
250750	2043	15
250755	2043	15
250761	2043	15
250762	2043	15
247858	2043	15
226408	2043	15
250765	2043	15
250766	2043	15
250771	2043	15
250772	2043	15
250774	2043	15
250775	2043	15
246582	2043	15
247808	2043	15
245682	2043	15
245691	2043	15
246333	2043	15
249552	2043	15
174968	2083	15
250158	2043	15
250176	2043	15
250185	2043	15
250186	2043	15
250192	2043	15
250195	2043	15
250201	2043	15
226409	2043	15
250202	2043	15
250213	2043	15
252345	2043	15
250214	2043	15
250218	2043	15
250222	2043	15
261300	2043	15
261311	2043	15
236769	2043	15
